Country;2016
Afghanistan;63,673
Albania;78,345
Algeria;76,078
American Samoa;..
Andorra;..
Angola;61,547
Antigua and Barbuda;76,364
Argentina;76,577
Armenia;74,618
Aruba;75,867
Australia;82,5
Austria;80,8902439
Azerbaijan;72,026
Bahamas The;75,675
Bahrain;76,9
Bangladesh;72,489
Barbados;75,906
Belarus;73,82682927
Belgium;80,99268293
Belize;70,384
Benin;60,907
Bermuda;81,22707317
Bhutan;70,197
Bolivia;69,125
Bosnia and Herzegovina;76,911
Botswana;66,797
Brazil;75,509
British Virgin Islands;..
Brunei Darussalam;77,203
Bulgaria;74,61463415
Burkina Faso;60,361
Burundi;57,481
Cabo Verde;72,798
Cambodia;68,981
Cameroon;58,073
Canada;82,3005122
Cayman Islands;..
Central African Republic;52,171
Chad;52,903
Channel Islands;81,107
Chile;79,522
China;76,252
Colombia;74,381
Comoros;63,701
Congo, Dem. Rep.;59,621
Congo, Rep.;64,625
Costa Rica;79,831
Cote d'Ivoire;53,582
Croatia;78,02195122
Cuba;79,742
Curacao;77,87317073
Cyprus;80,508
Czech Republic;78,33170732
Denmark;80,70487805
Djibouti;62,465
Dominica;..
Dominican Republic;73,861
Ecuador;76,327
Egypt, Arab Rep.;71,484
El Salvador;73,512
Equatorial Guinea;57,681
Eritrea;65,092
Estonia;77,73658537
Ethiopia;65,475
Faroe Islands;82,24146341
Fiji;70,269
Finland;81,7804878
France;82,27317073
French Polynesia;76,813
Gabon;66,105
Gambia, The;61,193
Georgia;73,261
Germany;80,64146341
Ghana;62,742
Gibraltar;..
Greece;81,03658537
Greenland;..
Grenada;73,659
Guam;79,575
Guatemala;73,409
Guinea;60,015
Guinea-Bissau;57,403
Guyana;66,65
Haiti;63,33
Honduras;73,575
Hong Kong SAR, China;84,22682927
Hungary;75,56829268
Iceland;82,46829268
India;68,56
Indonesia;69,191
Iran, Islamic Rep.;75,953
Iraq;69,862
Ireland;81,60731707
Isle of Man;..
Israel;82,40731707
Italy;82,54390244
Jamaica;75,97
Japan;83,98487805
Jordan;74,329
Kazakhstan;72,3
Kenya;67,032
Kiribati;66,317
Korea, Dem. Peopleâ€™s Rep.;71,685
Korea, Rep.;82,02439024
Kosovo;71,64634146
Kuwait;74,694
Kyrgyz Republic;70,95121951
Lao PDR;66,683
Latvia;74,52926829
Lebanon;79,584
Lesotho;54,174
Liberia;62,505
Libya;71,934
Liechtenstein;82,65609756
Lithuania;74,32195122
Luxembourg;82,29268293
Macao SAR, China;83,849
Macedonia, FYR;75,703
Madagascar;65,932
Malawi;63,223
Malaysia;75,3
Maldives;77,339
Mali;57,966
Malta;81,79756098
Marshall Islands;..
Mauritania;63,238
Mauritius;74,39487805
Mexico;77,118
Micronesia, Fed. Sts.;69,195
Moldova;71,61
Monaco;..
Mongolia;69,287
Montenegro;77,116
Morocco;75,821
Mozambique;58,311
Myanmar;66,612
Namibia;64,388
Nauru;..
Nepal;70,253
Netherlands;81,5097561
New Caledonia;76,96150074
New Zealand;81,61243902
Nicaragua;75,404
Niger;60,058
Nigeria;53,428
Northern Mariana Islands;..
Norway;82,5097561
Oman;77,029
Pakistan;66,481
Palau;..
Panama;78,001
Papua New Guinea;65,544
Paraguay;73,12
Peru;74,983
Philippines;69,094
Poland;77,45121951
Portugal;81,12682927
Puerto Rico;79,78831707
Qatar;78,184
Romania;75,01219512
Russian Federation;71,59292683
Rwanda;67,129
Samoa;75,013
San Marino;..
Sao Tome and Principe;66,624
Saudi Arabia;74,561
Senegal;67,146
Serbia;75,23902439
Seychelles;74,3097561
Sierra Leone;51,835
Singapore;82,79512195
Sint Maarten (Dutch part);..
Slovak Republic;76,56341463
Slovenia;80,77560976
Solomon Islands;70,726
Somalia;56,293
South Africa;62,774
South Sudan;56,811
Spain;82,83170732
Sri Lanka;75,284
St. Kitts and Nevis;..
St. Lucia;75,496
St. Martin (French part);79,62195122
St. Vincent and the Grenadines;73,179
Sudan;64,486
Suriname;71,405
Swaziland;57,754
Sweden;82,20487805
Switzerland;82,89756098
Syrian Arab Republic;70,31
Tajikistan;71,051
Tanzania;65,675
Thailand;75,303
Timor-Leste;68,881
Togo;60,232
Tonga;73,029
Trinidad and Tobago;70,673
Tunisia;75,731
Turkey;75,755
Turkmenistan;67,835
Turks and Caicos Islands;..
Tuvalu;..
Uganda;59,889
Ukraine;71,47634146
United Arab Emirates;77,256
United Kingdom;80,95609756
United States;78,6902439
Uruguay;77,493
Uzbekistan;71,314
Vanuatu;72,133
Venezuela, RB;74,545
Vietnam;76,253
Virgin Islands (U.S.);79,26829268
West Bank and Gaza;73,473
Yemen, Rep.;64,953
Zambia;61,874
Zimbabwe;61,163
Arab World;71,19845637
Caribbean small states;73,1924085
Central Europe and the Baltics;76,60317678
Early-demographic dividend;69,76627113
East Asia & Pacific;75,39573195
East Asia & Pacific (excluding high income);74,49253256
East Asia & Pacific (IDA & IBRD countries);74,527656
Euro area;81,5596179
Europe & Central Asia;77,28210818
Europe & Central Asia (excluding high income);72,86678263
Europe & Central Asia (IDA & IBRD countries);73,24904082
European Union;80,62048973
Fragile and conflict affected situations;62,39652681
Heavily indebted poor countries (HIPC);62,08175389
High income;80,52671329
IBRD only;72,76270785
IDA & IBRD total;70,46864735
IDA blend;61,66244827
IDA only;64,58966602
IDA total;63,62071912
Late-demographic dividend;75,71565404
Latin America & Caribbean;75,54008252
Latin America & Caribbean (excluding high income);75,39736291
Latin America & the Caribbean (IDA & IBRD countries);75,43739896
Least developed countries: UN classification;64,44519781
Low & middle income;70,4203973
Low income;62,53737349
Lower middle income;67,93658421
Middle East & North Africa;73,49145865
Middle East & North Africa (excluding high income);72,99192022
Middle East & North Africa (IDA & IBRD countries);72,98598886
Middle income;71,34934089
North America;79,05493458
Not classified;..
OECD members;80,12430723
Other small states;67,68658803
Pacific island small states;70,89537639
Post-demographic dividend;80,45652428
Pre-demographic dividend;59,96143906
Small states;68,86859922
South Asia;68,71053305
South Asia (IDA & IBRD);68,71053305
Sub-Saharan Africa;60,39483799
Sub-Saharan Africa (excluding high income);60,3935628
Sub-Saharan Africa (IDA & IBRD countries);60,39483799
Upper middle income;75,33752445
World;72,03526434
;
;
;
;
;